user_id,movie_id,rating
52,45,3.042989210310263
93,41,2.669644012595116
15,29,1.888431241882921
72,15,1.4794614693347312
61,45,2.350460685614512
21,1,4.771638815650077
83,25,2.292811728083021
87,7,3.0751624869734644
75,9,3.812075835580712
75,24,2.454518409517176
88,1,4.887128330883843
24,44,4.849789179768445
3,8,2.0071291833014566
22,24,2.988994023569542
53,11,2.203513239267078
2,17,2.1393619775098704
88,8,1.1475477894181312
30,35,3.438257335919588
38,35,3.010716092915446
2,33,1.2059150049999574
64,5,2.1145858569464457
60,42,4.633063543866615
21,39,1.9582475626678897
33,41,1.5795794883648924
76,28,2.957811041110252
58,7,4.942601816442403
22,9,1.9682210860460017
89,8,3.688542189623514
49,12,4.04647846131487
91,34,1.950550175969599
59,33,3.9128653944474383
42,48,2.471132530877013
92,23,3.529223322374318
60,24,3.534118843043579
80,37,3.143098736299034
15,35,1.3611590802176332
62,44,4.341209982356952
62,40,2.283120259886944
47,22,1.746074041599417
62,27,1.1631005662190557
51,35,3.3635717727529677
55,1,3.7102574473691297
64,35,1.0663513157114246
3,37,3.048372233197124
51,47,1.905983100791752
7,14,3.5806911616377994
21,3,1.6974657160199658
73,1,3.763750952409864
39,5,2.5469413852021496
18,26,4.746919954946938
4,14,1.550083776583973
89,39,2.364265404201034
60,27,1.4538940849623565
14,9,4.698774473114251
9,15,4.509357413523924
90,15,2.0317665108606224
53,26,3.639936184136716
2,42,4.268888800804863
84,13,3.2208032463978493
92,32,3.118602313424026
60,39,1.9674091636018067
71,49,1.3724110712235968
44,32,4.588863031813308
8,4,4.601672228653322
47,30,3.532405829093072
35,37,2.3561191641948027
78,23,2.396838298450644
81,39,3.9038227154809575
36,45,4.588441039810308
50,15,4.548345697060469
4,43,4.119502183430496
2,29,3.568126584617151
6,36,1.336559859980195
54,13,1.646514856378455
4,32,4.5942167541083165
54,7,3.42571623863836
93,22,1.0367882064665186
63,28,1.4058861714641284
18,2,3.6540070764322232
90,42,1.0202463353848747
44,45,1.6432322056699946
34,6,3.1949351574663445
74,28,3.767580790770773
62,28,3.607845038010402
14,44,1.8970772378422391
95,44,3.848716885390144
48,20,1.9489963499872005
15,30,2.301598792637071
72,11,3.985965620472097
78,28,3.5985315961888587
87,25,4.396893641976712
62,39,3.6304515692013735
40,33,3.2732344133418865
85,1,1.37469907131237
80,27,2.470863212237734
82,13,2.060809470726902
53,41,1.9759585735163343
24,3,4.892042219009783
26,39,2.5723908986670416
89,6,4.568186220708453
